sample;annotation
твердый gillet;[(0, 7, 'B-TYPE'), (8, 14, 'B-BRAND')]
твердый gillett;[(0, 7, 'B-TYPE'), (8, 15, 'B-BRAND')]
твист;[(0, 5, 'B-BRAND')]
твлрож;[(0, 6, 'B-TYPE')]
твлрожки;[(0, 8, 'B-TYPE')]
твлрожкт;[(0, 8, 'B-TYPE')]
твлрожная;[(0, 9, 'B-TYPE')]
твлрожок;[(0, 8, 'B-TYPE')]
тво по ог;[(0, 3, 'B-TYPE'), (4, 6, 'O'), (7, 9, 'O')]
твожный;[(0, 7, 'B-TYPE')]
твожок;[(0, 6, 'B-TYPE')]
твоног;[(0, 6, 'B-TYPE')]
твоог;[(0, 5, 'B-TYPE')]
твоожгый;[(0, 8, 'B-TYPE')]
твоожный;[(0, 8, 'B-TYPE')]
твооог;[(0, 6, 'B-TYPE')]
твоорог;[(0, 7, 'B-TYPE')]
твопржок;[(0, 8, 'B-TYPE')]
твор;[(0, 4, 'B-TYPE')]
творажек;[(0, 8, 'B-TYPE')]
творг;[(0, 5, 'B-TYPE')]
творго;[(0, 6, 'B-TYPE')]
творгог;[(0, 7, 'B-TYPE')]
твордок;[(0, 7, 'B-TYPE')]
творжки;[(0, 7, 'B-TYPE')]
творжны;[(0, 7, 'B-TYPE')]
творжные;[(0, 8, 'B-TYPE')]
творлдок;[(0, 8, 'B-TYPE')]
творлж;[(0, 6, 'B-TYPE')]
творлжки;[(0, 8, 'B-TYPE')]
творлжок;[(0, 8, 'B-TYPE')]
творо6;[(0, 6, 'B-TYPE')]
твороб;[(0, 6, 'B-TYPE')]
творобу;[(0, 7, 'B-TYPE')]
творобужки;[(0, 10, 'B-TYPE')]
творобуки;[(0, 9, 'B-TYPE')]
творобуше;[(0, 9, 'B-TYPE')]
творобушеи;[(0, 10, 'B-TYPE')]
творобушк;[(0, 9, 'B-TYPE')]
творобушка;[(0, 10, 'B-TYPE')]
творобушки;[(0, 10, 'B-TYPE')]
творобушкин;[(0, 11, 'B-TYPE')]
творобушкис;[(0, 11, 'B-TYPE')]
творобышки;[(0, 10, 'B-TYPE')]
творог;[(0, 6, 'B-TYPE')]
творог 1 %;[(0, 6, 'B-TYPE'), (7, 8, 'B-PERCENT'), (9, 10, 'I-PERCENT')]
творог 1 кг;[(0, 6, 'B-TYPE'), (7, 8, 'B-VOLUME'), (9, 11, 'I-VOLUME')]
творог 5%;[(0, 6, 'B-TYPE'), (7, 9, 'B-PERCENT')]
творог 9;[(0, 6, 'B-TYPE'), (7, 8, 'B-PERCENT')]
творог 9 %;[(0, 6, 'B-TYPE'), (7, 8, 'B-PERCENT'), (9, 10, 'I-PERCENT')]
творог агуша;[(0, 6, 'B-TYPE'), (7, 12, 'B-BRAND')]
творог б.ю.александро;[(0, 6, 'B-TYPE'), (7, 21, 'B-BRAND')]
творог без сахара;[(0, 6, 'B-TYPE'), (7, 10, 'O'), (11, 17, 'O')]
творог безлактозный;[(0, 6, 'B-TYPE'), (7, 19, 'I-TYPE')]
творог брикет;[(0, 6, 'B-TYPE'), (7, 13, 'I-TYPE')]
творог в брекетах;[(0, 6, 'B-TYPE'), (7, 8, 'O'), (9, 17, 'O')]
творог в деревне;[(0, 6, 'B-TYPE'), (7, 8, 'O'), (9, 16, 'O')]
творог в зер;[(0, 6, 'B-TYPE'), (7, 8, 'O'), (9, 12, 'O')]
творог в слив;[(0, 6, 'B-TYPE'), (7, 8, 'O'), (9, 13, 'O')]
творог вкус и;[(0, 6, 'B-TYPE'), (7, 11, 'O'), (12, 13, 'O')]
творог детский;[(0, 6, 'B-TYPE'), (7, 14, 'I-TYPE')]
творог зер;[(0, 6, 'B-TYPE'), (7, 10, 'I-TYPE')]
творог зерн;[(0, 6, 'B-TYPE'), (7, 11, 'I-TYPE')]
творог зерне;[(0, 6, 'B-TYPE'), (7, 12, 'I-TYPE')]
творог зернен;[(0, 6, 'B-TYPE'), (7, 13, 'I-TYPE')]
творог зерненн;[(0, 6, 'B-TYPE'), (7, 14, 'I-TYPE')]
творог зерненны;[(0, 6, 'B-TYPE'), (7, 15, 'I-TYPE')]
творог зернены;[(0, 6, 'B-TYPE'), (7, 14, 'I-TYPE')]
творог зерненый;[(0, 6, 'B-TYPE'), (7, 15, 'I-TYPE')]
творог зерненый в сливках;[(0, 6, 'B-TYPE'), (7, 15, 'I-TYPE'), (16, 17, 'O'), (18, 25, 'O')]
творог зерненый савушкин;[(0, 6, 'B-TYPE'), (7, 15, 'I-TYPE'), (16, 24, 'B-BRAND')]
творог зернёный;[(0, 6, 'B-TYPE'), (7, 15, 'I-TYPE')]
творог зернёный в сливках;[(0, 6, 'B-TYPE'), (7, 15, 'I-TYPE'), (16, 17, 'O'), (18, 25, 'O')]
творог иван поддубный;[(0, 6, 'B-TYPE'), (7, 11, 'B-BRAND'), (12, 21, 'I-BRAND')]
творог искрене ваш;[(0, 6, 'B-TYPE'), (7, 14, 'B-BRAND'), (15, 18, 'I-BRAND')]
творог карат пластовой;[(0, 6, 'B-TYPE'), (7, 12, 'B-BRAND'), (13, 22, 'I-TYPE')]
творог молочная станция;[(0, 6, 'B-TYPE'), (7, 15, 'B-BRAND'), (16, 23, 'I-BRAND')]
творог молочная стар;[(0, 6, 'B-TYPE'), (7, 15, 'B-BRAND'), (16, 20, 'I-BRAND')]
творог моя цена;[(0, 6, 'B-TYPE'), (7, 10, 'B-BRAND'), (11, 15, 'I-BRAND')]
творог му;[(0, 6, 'B-TYPE'), (7, 9, 'I-TYPE')]
творог мя це;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 12, 'O')]
творог мягкий;[(0, 6, 'B-TYPE'), (7, 13, 'I-TYPE')]
творог мягкий обезжиренный;[(0, 6, 'B-TYPE'), (7, 13, 'I-TYPE'), (14, 26, 'I-TYPE')]
творог на сливках;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 17, 'O')]
творог нежный мягки;[(0, 6, 'B-TYPE'), (7, 13, 'I-TYPE'), (14, 19, 'I-TYPE')]
творог обез;[(0, 6, 'B-TYPE'), (7, 11, 'I-TYPE')]
творог простоква;[(0, 6, 'B-TYPE'), (7, 16, 'I-TYPE')]
творог рассыпчатый;[(0, 6, 'B-TYPE'), (7, 18, 'I-TYPE')]
творог резной;[(0, 6, 'B-TYPE'), (7, 13, 'I-TYPE')]
творог ромашки;[(0, 6, 'B-TYPE'), (7, 14, 'B-BRAND')]
творог ромашкин;[(0, 6, 'B-TYPE'), (7, 15, 'B-BRAND')]
творог ромашкино;[(0, 6, 'B-TYPE'), (7, 16, 'B-BRAND')]
творог с голубикой;[(0, 6, 'B-TYPE'), (7, 8, 'O'), (9, 18, 'O')]
творог с грушей;[(0, 6, 'B-TYPE'), (7, 8, 'O'), (9, 15, 'O')]
творог с джемом;[(0, 6, 'B-TYPE'), (7, 8, 'O'), (9, 15, 'O')]
творог с изюм;[(0, 6, 'B-TYPE'), (7, 8, 'O'), (9, 13, 'O')]
творог с курагой;[(0, 6, 'B-TYPE'), (7, 8, 'O'), (9, 16, 'O')]
творог село;[(0, 6, 'B-TYPE'), (7, 11, 'O')]
творог село з;[(0, 6, 'B-TYPE'), (7, 11, 'B-BRAND'), (12, 13, 'O')]
творог сернурск;[(0, 6, 'B-TYPE'), (7, 15, 'B-BRAND')]
творог сернурский;[(0, 6, 'B-TYPE'), (7, 17, 'B-BRAND')]
творог серышевск;[(0, 6, 'B-TYPE'), (7, 16, 'B-BRAND')]
творог серышевски;[(0, 6, 'B-TYPE'), (7, 17, 'B-BRAND')]
творог со сметаной;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 18, 'O')]
творог станцыя молочная;[(0, 6, 'B-TYPE'), (7, 14, 'B-BRAND'), (15, 23, 'I-BRAND')]
творог фруктовый агуша;[(0, 6, 'B-TYPE'), (7, 16, 'I-TYPE'), (17, 22, 'B-BRAND')]
творог.;[(0, 7, 'B-TYPE')]
творог2;[(0, 7, 'B-TYPE')]
творога;[(0, 7, 'B-TYPE')]
творогаый;[(0, 9, 'B-TYPE')]
творогг;[(0, 7, 'B-TYPE')]
творогожок;[(0, 10, 'B-TYPE')]
творогх;[(0, 7, 'B-TYPE')]
творогы;[(0, 7, 'B-TYPE')]
творог⁸;[(0, 7, 'B-TYPE')]
твород;[(0, 6, 'B-TYPE')]
твородная;[(0, 9, 'B-TYPE')]
твородные;[(0, 9, 'B-TYPE')]
твородный;[(0, 9, 'B-TYPE')]
твородный сыр;[(0, 9, 'B-TYPE'), (10, 13, 'I-TYPE')]
твородныф;[(0, 9, 'B-TYPE')]
твородо;[(0, 7, 'B-TYPE')]
твородрк;[(0, 8, 'B-TYPE')]
творож агу;[(0, 6, 'B-TYPE'), (7, 10, 'I-TYPE')]
творож4и;[(0, 8, 'B-TYPE')]
творожгве;[(0, 9, 'B-TYPE')]
творожее;[(0, 8, 'B-TYPE')]
творожеи;[(0, 8, 'B-TYPE')]
творожек детский;[(0, 8, 'B-TYPE'), (9, 16, 'I-TYPE')]
творожекй;[(0, 9, 'B-TYPE')]
твороженая;[(0, 10, 'B-TYPE')]
твороженная;[(0, 11, 'B-TYPE')]
твороженная масса;[(0, 11, 'B-TYPE'), (12, 17, 'I-TYPE')]
твороженные;[(0, 11, 'B-TYPE')]
твороженный;[(0, 11, 'B-TYPE')]
твороженный сырок;[(0, 11, 'B-TYPE'), (12, 17, 'I-TYPE')]
твороженое;[(0, 10, 'B-TYPE')]
творожены;[(0, 9, 'B-TYPE')]
твороженый;[(0, 10, 'B-TYPE')]
твороженый сыр;[(0, 10, 'B-TYPE'), (11, 14, 'I-TYPE')]
творожки;[(0, 8, 'B-TYPE')]
творожки бежин луг;[(0, 8, 'B-TYPE'), (9, 14, 'B-BRAND'), (15, 18, 'I-BRAND')]
творожки детские;[(0, 8, 'B-TYPE'), (9, 16, 'I-TYPE')]
творожки с изюмом;[(0, 8, 'B-TYPE'), (9, 10, 'O'), (11, 17, 'O')]
творожки три кота;[(0, 8, 'B-TYPE'), (9, 12, 'B-BRAND'), (13, 17, 'I-BRAND')]
творожкиэ;[(0, 9, 'B-TYPE')]
творожкки;[(0, 9, 'B-TYPE')]
творожлк;[(0, 8, 'B-TYPE')]
творожн;[(0, 7, 'B-TYPE')]
творожна;[(0, 8, 'B-TYPE')]
творожная;[(0, 9, 'B-TYPE')]
творожнве;[(0, 9, 'B-TYPE')]
творожнвй;[(0, 9, 'B-TYPE')]
творожнвй сыр;[(0, 9, 'B-TYPE'), (10, 13, 'I-TYPE')]
творожник;[(0, 9, 'B-TYPE')]
творожники;[(0, 10, 'B-TYPE')]
творожнк;[(0, 8, 'B-TYPE')]
творожннный;[(0, 11, 'B-TYPE')]
творожнный;[(0, 10, 'B-TYPE')]
творожное;[(0, 9, 'B-TYPE')]
творожное зерно;[(0, 9, 'B-TYPE'), (10, 15, 'I-TYPE')]
творожной;[(0, 9, 'B-TYPE')]
творожнок;[(0, 9, 'B-TYPE')]
творожные;[(0, 9, 'B-TYPE')]
творожные кольца;[(0, 9, 'B-TYPE'), (10, 16, 'I-TYPE')]
творожные палочки;[(0, 9, 'B-TYPE'), (10, 17, 'I-TYPE')]
творожные продук;[(0, 9, 'B-TYPE'), (10, 16, 'I-TYPE')]
творожные продукты;[(0, 9, 'B-TYPE'), (10, 18, 'I-TYPE')]
творожные сырки;[(0, 9, 'B-TYPE'), (10, 15, 'I-TYPE')]
творожный;[(0, 9, 'B-TYPE')]
творожный десерт;[(0, 9, 'B-TYPE'), (10, 16, 'I-TYPE')]
творожный десерт чудо;[(0, 9, 'B-TYPE'), (10, 16, 'I-TYPE'), (17, 21, 'B-BRAND')]
творожный крем;[(0, 9, 'B-TYPE'), (10, 14, 'I-TYPE')]
творожный с;[(0, 9, 'B-TYPE'), (10, 11, 'I-TYPE')]
творожный сливочный сыр;[(0, 9, 'B-TYPE'), (10, 19, 'I-TYPE'), (20, 23, 'I-TYPE')]
творожный сыр;[(0, 9, 'B-TYPE'), (10, 13, 'I-TYPE')]
творожный сыр для десерта;[(0, 9, 'B-TYPE'), (10, 13, 'I-TYPE'), (14, 17, 'O'), (18, 25, 'O')]
творожный сыр для суши;[(0, 9, 'B-TYPE'), (10, 13, 'I-TYPE'), (14, 17, 'O'), (18, 22, 'O')]
творожный сыр мягкий;[(0, 9, 'B-TYPE'), (10, 13, 'I-TYPE'), (14, 20, 'O')]
творожный сыр от;[(0, 9, 'B-TYPE'), (10, 13, 'I-TYPE'), (14, 16, 'O')]
творожный сырок;[(0, 9, 'B-TYPE'), (10, 15, 'I-TYPE')]
творожныйй;[(0, 10, 'B-TYPE')]
творожо;[(0, 7, 'B-TYPE')]
творожоа;[(0, 8, 'B-TYPE')]
творожок агуша;[(0, 8, 'B-TYPE'), (9, 14, 'I-BRAND')]
творожок агуша черни;[(0, 8, 'B-TYPE'), (9, 14, 'B-BRAND'), (15, 20, 'I-BRAND')]
творожок ама лама;[(0, 8, 'B-TYPE'), (9, 12, 'B-BRAND'), (13, 17, 'I-BRAND')]
творожок детский;[(0, 8, 'B-TYPE'), (9, 16, 'I-TYPE')]
творожок к детский;[(0, 8, 'B-TYPE'), (9, 10, 'O'), (11, 18, 'O')]
творожок мягкий;[(0, 8, 'B-TYPE'), (9, 15, 'I-TYPE')]
творожок тема;[(0, 8, 'B-TYPE'), (9, 13, 'B-BRAND')]
творожокз;[(0, 9, 'B-TYPE')]
творожокх;[(0, 9, 'B-TYPE')]
творожокц;[(0, 9, 'B-TYPE')]
творожокэ;[(0, 9, 'B-TYPE')]
творожтк;[(0, 8, 'B-TYPE')]
творок;[(0, 6, 'B-TYPE')]
творолг;[(0, 7, 'B-TYPE')]
твороне продуты;[(0, 7, 'O'), (8, 15, 'O')]
творонный;[(0, 9, 'B-TYPE')]
твороо;[(0, 6, 'B-TYPE')]
твороог;[(0, 7, 'B-TYPE')]
твороожок;[(0, 9, 'B-TYPE')]
твороок;[(0, 7, 'B-TYPE')]
твороржный;[(0, 10, 'B-TYPE')]
творорожок;[(0, 10, 'B-TYPE')]
творош;[(0, 6, 'B-TYPE')]
творошки;[(0, 8, 'B-TYPE')]
твороьушк;[(0, 9, 'B-TYPE')]
твороэж;[(0, 7, 'B-TYPE')]
твороюная;[(0, 9, 'B-TYPE')]
творрг;[(0, 6, 'B-TYPE')]
творрго;[(0, 7, 'B-TYPE')]
творрдки;[(0, 8, 'B-TYPE')]
творрж;[(0, 6, 'B-TYPE')]
творржки;[(0, 8, 'B-TYPE')]
творржны;[(0, 8, 'B-TYPE')]
творржный;[(0, 9, 'B-TYPE')]
творржный сыр;[(0, 9, 'B-TYPE'), (10, 13, 'I-TYPE')]
творржок;[(0, 8, 'B-TYPE')]
творржрк;[(0, 8, 'B-TYPE')]
творрн;[(0, 6, 'B-TYPE')]
творрожная;[(0, 10, 'B-TYPE')]
творуг;[(0, 6, 'B-TYPE')]
тврелк;[(0, 6, 'B-TYPE')]
твркс;[(0, 5, 'B-TYPE')]
твро;[(0, 4, 'B-TYPE')]
твробушки;[(0, 9, 'B-TYPE')]
твровожный;[(0, 10, 'B-TYPE')]
тврожки;[(0, 7, 'B-TYPE')]
тврожная;[(0, 8, 'B-TYPE')]
тврожный;[(0, 8, 'B-TYPE')]
твррог;[(0, 6, 'B-TYPE')]
твррожки;[(0, 8, 'B-TYPE')]
тврталетки;[(0, 10, 'B-TYPE')]
твёрдый;[(0, 7, 'B-TYPE')]
теалетна;[(0, 8, 'B-TYPE')]
тебе taft;[(0, 4, 'O'), (5, 9, 'B-BRAND')]
тебе абрико;[(0, 4, 'O'), (5, 11, 'B-BRAND')]
тебе агромясопром;[(0, 4, 'O'), (5, 17, 'B-BRAND')]
тебе конфет;[(0, 4, 'O'), (5, 11, 'B-TYPE')]
тебе саке;[(0, 4, 'O'), (5, 9, 'B-TYPE')]
тебе темп;[(0, 4, 'O'), (5, 9, 'B-BRAND')]
теблетки для посудомойки;[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 24, 'O')]
теврдый;[(0, 7, 'B-TYPE')]
теияки;[(0, 6, 'B-TYPE')]
теки;[(0, 4, 'B-TYPE')]
текил;[(0, 5, 'B-TYPE')]
текила;[(0, 6, 'B-TYPE')]
текила с;[(0, 6, 'B-TYPE'), (7, 8, 'B-BRAND')]
текила ст;[(0, 6, 'B-TYPE'), (7, 9, 'B-BRAND')]
текила стм;[(0, 6, 'B-TYPE'), (7, 10, 'B-BRAND')]
телек;[(0, 5, 'B-TYPE')]
телец ветчи;[(0, 5, 'B-BRAND'), (6, 11, 'B-TYPE')]
телец ветчин;[(0, 5, 'B-BRAND'), (6, 12, 'B-TYPE')]
тельзитер;[(0, 9, 'B-TYPE')]
телятин;[(0, 7, 'B-TYPE')]
телятин мороженне;[(0, 7, 'O'), (8, 17, 'O')]
телятина;[(0, 8, 'B-TYPE')]
телятина морожен;[(0, 8, 'B-TYPE'), (9, 16, 'I-TYPE')]
телятина морожена;[(0, 8, 'B-TYPE'), (9, 17, 'I-TYPE')]
телятина мороженая;[(0, 8, 'B-TYPE'), (9, 18, 'I-TYPE')]
телятина охлажденн;[(0, 8, 'B-TYPE'), (9, 18, 'I-TYPE')]
телятина охлажденна;[(0, 8, 'B-TYPE'), (9, 19, 'I-TYPE')]
телятина охлажденная;[(0, 8, 'B-TYPE'), (9, 20, 'I-TYPE')]
телятины мороженны;[(0, 8, 'B-TYPE'), (9, 18, 'I-TYPE')]
телятины мороженные;[(0, 8, 'B-TYPE'), (9, 19, 'I-TYPE')]
телятины охлжденне;[(0, 8, 'O'), (9, 18, 'O')]
телячьи;[(0, 7, 'B-TYPE')]
темный шоколад;[(0, 6, 'B-TYPE'), (7, 14, 'I-TYPE')]
темп;[(0, 4, 'B-TYPE')]
темп шпикач;[(0, 4, 'B-BRAND'), (5, 11, 'B-TYPE')]
темп шпикачк;[(0, 4, 'B-BRAND'), (5, 12, 'B-TYPE')]
темпура;[(0, 7, 'B-TYPE')]
темто для пельменей;[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 19, 'O')]
темто слоеное;[(0, 5, 'B-TYPE'), (6, 13, 'I-TYPE')]
темьо для чебурек;[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 17, 'O')]
тендер гран;[(0, 6, 'B-BRAND'), (7, 11, 'B-TYPE')]
тендер грана;[(0, 6, 'B-BRAND'), (7, 12, 'B-TYPE')]
тендер гранат;[(0, 6, 'B-BRAND'), (7, 13, 'B-TYPE')]
тендер граната;[(0, 6, 'B-BRAND'), (7, 14, 'B-TYPE')]
тендер кабачо;[(0, 6, 'B-BRAND'), (7, 13, 'B-TYPE')]
тендер капус;[(0, 6, 'B-BRAND'), (7, 12, 'B-TYPE')]
тендер капуст;[(0, 6, 'B-BRAND'), (7, 13, 'B-TYPE')]
тендер капуста;[(0, 6, 'B-BRAND'), (7, 14, 'B-TYPE')]
тендер лим;[(0, 6, 'B-BRAND'), (7, 10, 'B-TYPE')]
тендер лимо;[(0, 6, 'B-BRAND'), (7, 11, 'B-TYPE')]
тендер лимон;[(0, 6, 'B-BRAND'), (7, 12, 'B-TYPE')]
тендер морко;[(0, 6, 'B-BRAND'), (7, 12, 'B-TYPE')]
тендер морков;[(0, 6, 'B-BRAND'), (7, 13, 'B-TYPE')]
тендер морковь;[(0, 6, 'B-BRAND'), (7, 14, 'B-TYPE')]
тендер свек;[(0, 6, 'B-BRAND'), (7, 11, 'B-TYPE')]
тендер свекл;[(0, 6, 'B-BRAND'), (7, 12, 'B-TYPE')]
тендер свекла;[(0, 6, 'B-BRAND'), (7, 13, 'B-TYPE')]
тендер спарж;[(0, 6, 'B-BRAND'), (7, 12, 'B-TYPE')]
тендер спаржа;[(0, 6, 'B-BRAND'), (7, 13, 'B-TYPE')]
тендер тык;[(0, 6, 'B-BRAND'), (7, 10, 'B-TYPE')]
тендер тыкв;[(0, 6, 'B-BRAND'), (7, 11, 'B-TYPE')]
тендер тыква;[(0, 6, 'B-BRAND'), (7, 12, 'B-TYPE')]
тендер х;[(0, 6, 'B-BRAND'), (7, 8, 'B-TYPE')]
тендер хек;[(0, 6, 'B-BRAND'), (7, 10, 'B-TYPE')]
тендер чесн;[(0, 6, 'B-BRAND'), (7, 11, 'B-TYPE')]
тендер чеснок;[(0, 6, 'B-BRAND'), (7, 13, 'B-TYPE')]
тендер шпинат;[(0, 6, 'B-BRAND'), (7, 13, 'B-TYPE')]
тендер шпината;[(0, 6, 'B-BRAND'), (7, 14, 'B-TYPE')]
тендер шпро;[(0, 6, 'B-BRAND'), (7, 11, 'B-TYPE')]
тео;[(0, 3, 'B-TYPE')]
теоияки;[(0, 7, 'B-TYPE')]
тепешки;[(0, 7, 'B-TYPE')]
тепеяки;[(0, 7, 'B-TYPE')]
тепирияки;[(0, 9, 'B-TYPE')]
тер;[(0, 3, 'B-TYPE')]
терамису;[(0, 8, 'B-TYPE')]
тербуренка;[(0, 10, 'O')]
терейяки;[(0, 8, 'B-TYPE')]
тереяки;[(0, 7, 'B-TYPE')]
терияк;[(0, 6, 'B-TYPE')]
терияка;[(0, 7, 'B-TYPE')]
териякии;[(0, 8, 'B-TYPE')]
териякт;[(0, 7, 'B-TYPE')]
терк;[(0, 4, 'B-TYPE')]
термабелье;[(0, 10, 'B-TYPE')]
термобел;[(0, 8, 'B-TYPE')]
термобель;[(0, 9, 'B-TYPE')]
термопакет;[(0, 10, 'B-TYPE')]
термос;[(0, 6, 'B-BRAND')]
термостатнвй;[(0, 12, 'B-TYPE')]
термостатное;[(0, 12, 'B-TYPE')]
термостатный;[(0, 12, 'B-TYPE')]
термяк;[(0, 6, 'B-TYPE')]
терн;[(0, 4, 'B-TYPE')]
террияк;[(0, 7, 'B-TYPE')]
терряки;[(0, 7, 'B-TYPE')]
тертадей;[(0, 8, 'B-TYPE')]
тертые томаты;[(0, 6, 'B-TYPE'), (7, 13, 'I-TYPE')]
тертяки;[(0, 7, 'B-TYPE')]
терьяки;[(0, 7, 'B-TYPE')]
терюяки;[(0, 7, 'B-TYPE')]
тест на;[(0, 4, 'O'), (5, 7, 'O')]
тест на беременность;[(0, 4, 'B-TYPE'), (5, 7, 'I-TYPE'), (8, 20, 'I-TYPE')]
тест на беременость;[(0, 4, 'B-TYPE'), (5, 7, 'O'), (8, 19, 'O')]
теста;[(0, 5, 'B-TYPE')]
тесто;[(0, 5, 'B-TYPE')]
тесто бездрожжевое;[(0, 5, 'B-TYPE'), (6, 18, 'I-TYPE')]
тесто дл пельменей;[(0, 5, 'B-TYPE'), (6, 8, 'O'), (9, 18, 'O')]
тесто для лагман;[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 16, 'O')]
тесто для ма;[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 12, 'O')]
тесто для пе;[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 12, 'O')]
тесто для пел;[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 13, 'O')]
тесто для пелеменей;[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 19, 'O')]
тесто для пи;[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 12, 'O')]
тесто для пиц;[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 13, 'O')]
тесто для чеб;[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 13, 'O')]
тесто для чебуреко;[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 18, 'O')]
тесто для чебуреков;[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 19, 'B-TYPE')]
тесто для чуб;[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 13, 'O')]
тесто доя пи;[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 12, 'O')]
тесто доя чебурек;[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 17, 'O')]
тесто доя чебуреков;[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 19, 'O')]
тесто дрожевое;[(0, 5, 'B-TYPE'), (6, 14, 'I-TYPE')]
тесто дрожевое для пирожков;[(0, 5, 'B-TYPE'), (6, 14, 'I-TYPE'), (15, 18, 'O'), (19, 27, 'O')]
тесто дрожжевое;[(0, 5, 'B-TYPE'), (6, 15, 'I-TYPE')]
тесто замороженн;[(0, 5, 'B-TYPE'), (6, 16, 'I-TYPE')]
тесто замороженно;[(0, 5, 'B-TYPE'), (6, 17, 'I-TYPE')]
тесто замороженное;[(0, 5, 'B-TYPE'), (6, 18, 'I-TYPE')]
тесто звездное;[(0, 5, 'B-TYPE'), (6, 14, 'I-TYPE')]
тесто на пельмени;[(0, 5, 'B-TYPE'), (6, 8, 'O'), (9, 17, 'O')]
тесто на чебурек;[(0, 5, 'B-TYPE'), (6, 8, 'O'), (9, 16, 'O')]
тесто на чебуреки;[(0, 5, 'B-TYPE'), (6, 8, 'O'), (9, 17, 'O')]
тесто охлажденно;[(0, 5, 'B-TYPE'), (6, 16, 'I-TYPE')]
тесто пельменное;[(0, 5, 'B-TYPE'), (6, 16, 'I-TYPE')]
тесто пицца;[(0, 5, 'B-TYPE'), (6, 11, 'I-TYPE')]
тесто сдобное;[(0, 5, 'B-TYPE'), (6, 13, 'I-TYPE')]
тесто сло;[(0, 5, 'B-TYPE'), (6, 9, 'I-TYPE')]
тесто слое;[(0, 5, 'B-TYPE'), (6, 10, 'I-TYPE')]
тесто слоен;[(0, 5, 'B-TYPE'), (6, 11, 'I-TYPE')]
тесто слоенное;[(0, 5, 'B-TYPE'), (6, 14, 'I-TYPE')]
тесто слоёное;[(0, 5, 'B-TYPE'), (6, 13, 'I-TYPE')]
тесто слоёное д;[(0, 5, 'B-TYPE'), (6, 13, 'I-TYPE'), (14, 15, 'O')]
тесто соленое;[(0, 5, 'B-TYPE'), (6, 13, 'I-TYPE')]
тесто фило;[(0, 5, 'B-TYPE'), (6, 10, 'I-TYPE')]
тестоэ;[(0, 6, 'B-TYPE')]
тетворожок;[(0, 10, 'B-TYPE')]
тетк;[(0, 4, 'O')]
тетра;[(0, 5, 'B-TYPE')]
тетрад;[(0, 6, 'B-TYPE')]
тетраде;[(0, 7, 'B-TYPE')]
тетради;[(0, 7, 'B-TYPE')]
тетради зенит;[(0, 7, 'B-TYPE'), (8, 13, 'B-BRAND')]
тетрадка;[(0, 8, 'B-TYPE')]
тетрадь ольден;[(0, 7, 'B-TYPE'), (8, 14, 'B-BRAND')]
тетрадь ольдена;[(0, 7, 'B-TYPE'), (8, 15, 'B-BRAND')]
тетрдаь;[(0, 7, 'B-TYPE')]
теунец;[(0, 6, 'B-TYPE')]
теф;[(0, 3, 'B-TYPE')]
тефте;[(0, 5, 'B-TYPE')]
тефтели;[(0, 7, 'B-TYPE')]
тефтельки;[(0, 9, 'B-TYPE')]
течто;[(0, 5, 'B-TYPE')]
тешонка;[(0, 7, 'B-TYPE')]
теытели;[(0, 7, 'B-TYPE')]
теяпка;[(0, 6, 'B-TYPE')]
тиалет;[(0, 6, 'B-TYPE')]
тик так;[(0, 3, 'B-BRAND'), (4, 7, 'I-BRAND')]
тиква;[(0, 5, 'B-TYPE')]
тиксы;[(0, 5, 'B-BRAND')]
тильзит;[(0, 7, 'B-TYPE')]
тильзитер;[(0, 9, 'B-TYPE')]
тимашевская;[(0, 11, 'B-BRAND')]
тимонад;[(0, 7, 'B-TYPE')]
тимья;[(0, 5, 'B-TYPE')]
тимьян;[(0, 6, 'B-TYPE')]
тимьян kotan;[(0, 6, 'B-TYPE'), (7, 12, 'B-BRAND')]
тимьян kotany;[(0, 6, 'B-TYPE'), (7, 13, 'B-BRAND')]
тинияки;[(0, 7, 'B-TYPE')]
тиостниковый;[(0, 12, 'B-TYPE')]
тир;[(0, 3, 'O')]
тирамесу;[(0, 8, 'B-TYPE')]
